show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Title 1,Director A,"Actor A, Actor D",,"November 12, 2019",2012,TV-14,1 Seasons,"Dramas, International Movies",Lorem ipsum dolor sit amet.
s2,Movie,Title 2,,"Actor A, Actor B",,"April 06, 2019",2000,TV-MA,3 Seasons,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s3,Movie,Title 3,Director B,"Actor A, Actor D",India,"December 22, 2017",2014,,108 min,Documentaries,Lorem ipsum dolor sit amet.
s4,Movie,Title 4,Director B,"Actor E, Actor F",Canada,"July 12, 2018",2021,TV-14,4 Seasons,Documentaries,Lorem ipsum dolor sit amet.
s5,Movie,Title 5,,"Actor E, Actor F",United States,"November 17, 2015",2002,TV-14,4 Seasons,"Dramas, International Movies",Lorem ipsum dolor sit amet.
s6,TV Show,Title 6,,"Actor A, Actor B",Canada,"February 19, 2015",2000,R,2 Seasons,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s7,Movie,Title 7,Director B,,,"August 23, 2015",2014,R,5 Seasons,,Lorem ipsum dolor sit amet.
s8,Movie,Title 8,,"Actor A, Actor D",United Kingdom,"December 08, 2017",2009,TV-14,144 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s9,Movie,Title 9,Director B,"Actor C, Actor D",India,"July 21, 2018",2011,PG-13,2 Seasons,,Lorem ipsum dolor sit amet.
s10,TV Show,Title 10,Director C,"Actor E, Actor F",,"September 13, 2017",2001,TV-14,5 Seasons,,Lorem ipsum dolor sit amet.
s11,TV Show,Title 11,Director A,,India,"June 23, 2016",2010,,95 min,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s12,TV Show,Title 12,,,United States,"July 05, 2021",2016,TV-14,45 min,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s13,Movie,Title 13,Director C,"Actor E, Actor F",Canada,"November 05, 2020",2006,TV-MA,3 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s14,Movie,Title 14,Director C,"Actor A, Actor B",Canada,"February 08, 2015",2020,PG-13,4 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
